COUNTRY,PROVINCE,TOWN,SUBURB,STREET,STR_TYPE,STR_NUM,LAT,LON,PAID
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,1,-26.191068,28.287313,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,2,-26.191105,28.286973,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,3,-26.191305,28.287343,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,4,-26.19127,28.286799,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,5,-26.191527,28.287374,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,6,-26.191406,28.28702,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,7,-26.191747,28.287404,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,8,-26.191661,28.287062,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,9,-26.191972,28.287415,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,10,-26.191661,28.286873,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,11,-26.191997,28.287182,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,12,-26.191681,28.286679,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,13,-26.192023,28.286961,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,14,-26.191727,28.286484,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,15,-26.192048,28.286739,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,16,-26.191749,28.286287,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,17,-26.192073,28.286518,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,18,-26.191768,28.286098,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,19,-26.192097,28.286297,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,20,-26.191542,28.286069,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,21,-26.192122,28.286074,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,22,-26.191518,28.286254,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,23,-26.19215,28.285838,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,24,-26.191475,28.286473,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,25,-26.191926,28.285788,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,26,-26.19132,28.286505,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,27,-26.191703,28.285757,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,28,-26.191121,28.286483,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,29,-26.191487,28.285726,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,31,-26.191247,28.285726,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,33,-26.191205,28.285923,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,ALPINE,CL,35,-26.191184,28.28614,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,AMBLESIDE,AV,1,-26.184585,28.291439,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,AMBLESIDE,AV,2,-26.183885,28.291739,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,AMBLESIDE,AV,3,-26.184435,28.291069,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,AMBLESIDE,AV,4,-26.183605,28.291339,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,AMBLESIDE,AV,5,-26.18425,28.290685,YES
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,AMBLESIDE,AV,6,-26.183415,28.290949,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,AMBLESIDE,AV,7,-26.184065,28.290289,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,AMBLESIDE,AV,8,-26.183235,28.290559,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,AMBLESIDE,AV,9,-26.183875,28.289899,NO
SOUTH AFRICA,GAUTENG,BENONI,LAKEFIELD,AMBLESIDE,AV,10,-26.183045,28.290179,NO
